review_overall,number_of_reviews,Name of beer,Brewery,Country,Style,ABV,°C,Hoppy,Malty,Sweet,Mouthfeel,Sour,Fruit,Floral,Bitter,Look,Aroma,Tasting notes
3.86,276,Obertrumer Original,Trumer,Austria,Marzen,4.8,7-9,1,5,3,4,0,0,0,1,"clear, golden",malty,This full bodied Marzen Zwicklbier has a subtle cloudiness and is nicely hoppy and malty. Unfiltered for added taste the result is a milder beer with multi-layered flavours and a natural haze in the glass.
3.93,119,Misty,Trzesh Kumpli,Poland,Contemporary IPA,5.5,8-12,4,3,3,4,0,4,2,3,"hazy, straw","citrusy, tropical","Juicy fruitiness is brought to you thanks to three kinds of finest American hops. Grapefruit, mango, lychee and limes greet your palate, giving away to gooseberry, white currant and white wine. Add just the right amount of herbal bitterness and finish off with a velvety soft mouthfeel - without oats and wheat this beer wouldn't be the same. "
3.98,130,Perler for Svin,Lervig,Norway,New England IPA,6.3,5,4,1,2,3,0,3,3,4,"hazy, golden","fruity, tropical","Loaded with Azzaca, Mosaic and Simcoe hops, this low-bitterness IPA has an extremely juicy aroma to complement the complex mouthfeel. Lervig's extensive dry-hopping and fermentation regiment ensures the achievement of the Garden of Eden juiciness. The resulting flavour is in-your-face-tropical mango and lychee with stone fruit finishing notes."
3.74,343,Lil' Twist,Rye River Brewing Co,Ireland,Grapefruit IPA,3.8,7-10,3,2,1,3,1,3,1,3,"clear, golden","citrusy, sweet","A smooth and sessionable IPA with intense aromas of juicy ripe grapefruit, tangerine and pine which folow through to a silky full body. "
3.93,7,Fruitropolis,Rascals,Ireland,Pale ale,4.3,6,4,2,3,3,1,5,3,3,"hazy, copper","citrusy, tropical","This sessionable tropical pale ale has been brewed with Magnum, Amarillo, El Dorado and Mandarina Bavaria hops, as well as orange zest and tropical fruit purees; a cascade of exotic fruit flavours leap from this tropical pale ale. Easy going and with a nice bitter-sweet balance."
3.63,343,Irish Lager,O'Hara's,Ireland,Munich Helles lager,4.5,4-6,2,3,2,3,0,1,2,3,"clear, straw","malty, floral","Traditional style craft brewed for maximum flavour. Hopped several times to create a unique blend of textures and aromas, Helles Lager is higher in bitterness than mainstream lagers and delivers a unique bite with a clean balanced finish."
4.09,308,Atlantean,The White Hag,Ireland,New England IPA,5.4,7-10,5,1,2,4,0,2,3,3,"hazy, straw","citrusy, fruity","This creamy and cloudy IPA contains copious amounts of American hops adding a big, juicy, fruit punch. Oats and lactose add a rich creaminess that subdues the bitterness, making this beer similar to a hopshake. Drink the beer as fresh as possible, when all the Alpha&Beta oils from the hops are the most powerful."
4.02,117,Tropical Hazy IPA,Dundalk Bay,Ireland,IPA,5.5,4,4.5,2,3.5,4,0,4.5,2,1,"hazy, straw","tropical, citrusy","Modern Hazy IPA loaded with oats and wheat for a really silky body, low bitterness and heavy dry hop with Citra, Mosaic and Cashmere make this a smooth and juicy beer packed with tropical and citrus flavours. "
3.88,81,Cold Comfort,Third Barrel,Ireland,Cold IPA,5,8,5,2,2,3,0,5,2,2,"hazy, golden","tropical, citrusy","Brewed like a lager, fermented like a West Coast and hopped like a New England. Hopped on the hot side with Cryo Pop blend and then double dry hopped with Strata and Idaho 7. Expect a super clean and crisp IPA loaded with juicy tropical fruits, apricot, orange, red grapefruit and papaya with big notes of resiny pine. "
3.89,68,Loud Places,Whiplash,Ireland,Pale ale,5,3-6,4,3,3,4,0,5,2,3,"hazy, golden","fruity, citrusy","Pours hazy yellow to orange with a distinct white rocky foam. Some transparency but a still hazy hop sup. Big nose of ripe and fleshy stone fruit that's very apricot forward. Lots of melon and orange juice, peach and floral in support. Gently honey sweet on the taste with loads of those hop aromas coming through in the flavour too. Round and full creamy and silky texture giving way to a lighter bitter finish but mostly fruit inviting you back for more."
3.45,173,Irish Red,O'Hara's,Ireland,Traditional red ale,4.3,6-8,2,3,3,3,0,1,2,3,dark ruby red,"malty, caramel","This Red stands out in this beer style category. The malt body is as impressive as a bock, albeit in a uniquely Irish way. With an incredibly smooth and malt body complemented by caramel tones and perfectly balanced in bitterness, this Irish red is much more complex than it's mainstream rivals. "
3.66,342,Irish Stout,O'Hara's,Ireland,Stout,4.3,6-8,2,3,3,3,1,0,1,3,black,"roast, chocolate, coffee",Irish Stout has a robust roast flavour complemented by a full-body and smooth mouthfeel. The generous addition of Fuggle hops lends a tart bitterness to the dry espresso-like finish. This sessionable stout beer is filled with rich complex coffee aromas mingled with light liquorice notes.
3.8,162,Quiet Crowd,Whiplash,Ireland,Brown ale,5,6-8,1,4,4,5,0,1,0.5,3,dark mahogany,"coffee, chocolate","Deep brown, ochre to mahogany body with a silky and tight knit tan foam. Intense malt driven aroma that embraces caramelised and toasted with coffee aromas being the main star. Heavy use of caramel and aromatic malts provide a deep malt flavour pushing chocolate, bread, biscuit, caramels and a round/full texture on the palate. Finishes with a decent bitterness balance to allow it be malty but not overbearingly sweet. "
4.03,7,The Nightcrawler,O Brother,Ireland,Milk stout,4.5,8,2,5,3,4,0,2,1,3,black,"roasty, chocolate","This is a darkly delicious milk stout, with a thick creamy head. Packed with coffee, chocolate and vanilla notes and a creaminess in the body that is typical of this style. Delicate hop bitterness balances the finish leaving you ready for the next sup. "
3.88,221,Nitro Stout,Dundalk Bay,Ireland,Nitro sout,4.2,6,0.5,4.5,3.5,4,0,1,0.5,2,black,"chocolate, coffee","Draught-like cascading effect on pour. Full-bodied with chocolate and coffee flavours, complemented by a smooth nitro mouth feel and rich creamy head. "
4,211,Tundra Tropical IPA,Wicklow Wolf,Ireland,New England IPA,5.6,8-10,5,2,3,4,0,5,1,2,"hazy, amber","citrusy, tropical","Dry hopped with a massive amount of tropical hops. You can expect a burst of tropical fruit flavours like grapefruit, pineapple, and papaya. This hazy IPA has a creamy mouthfeel with low bitterness that allows the hops to shine. "
3.12,345,Spree Series Watermelon,The White Hag,Ireland,Watermelon IPA,5.5,7-10,3,1,1,2,0,3,2,3,green,"watermelon, grapefruit",Pungent grapefruit and hints of watermelon. Green from the food colouring representing the rind of the watermelon.
3.66,141,Irish White Ale,Heaney,Ireland,Witbier,4.8,4,1,2,2,3,1,3,4,2,"hazy, straw","floral, citrusy","A classic Wit style brewed with coriander and sweet orange zest. A subtly bready malt body allows the yeast's white-pepper spice to shine through, complemented by fragrant and zesty coriander seed and orange peel for a perfect balance of flavours and a dry finish for ultimate refreshment. "
4.04,136,Trees We Didn't Plant,Boundary,Ireland,Pale ale,4,4-8,3.5,1,2,3,0,4,1,2,"hazy, straw","citrusy, fruity","This highly sessionable pale ale is bursting with fruit forward hops and big, bright, zesty grapefruit flavours. The fresh lime, and tropical notes of the Citra and Azacca hops are backed up by the smooth base of the pale malt, flaked oats and wheat giving the beer a soft, pillowy mouthfeel. It finishes clean, balanced with the soft pithy bitterness of orange peel. "
